HelpView.xaml | –  User Guide
VehicleEditWindow.xaml | Save
GoogleDriveSettingsView.xaml | Save Settings
WorkOrderDetailWindow.xaml | Search
AccessoryManagementView.xaml | Search by name, part number, or description
VehicleManagementView.xaml | Search Chassis:
ClientManagementView.xaml | Search Client Name:
HelpView.xaml | Search for a vehicle by chassis number or register a new one.
HelpView.xaml | Search, add, edit, or delete vehicles.
ImportView.xaml | Select
HelpView.xaml | Select a folder containing PDF work orders. The built‑in Python extractor reads the data.
ImportView.xaml | Select All
HelpView.xaml | Select an accessory, date range, and new price.
ImportView.xaml | Select Excel/CSV File
ImportView.xaml | Select PDF Folder
WorkOrderDetailWindow.xaml | Selected Vehicle
HelpView.xaml | Set report styles (colors, fonts) in Settings.
MainWindow.xaml | Settings
LoginView.xaml | Sign in to continue
BackupView.xaml | Size
MainWindow.xaml | SK Auto Work Tracking
MainWindow.xaml | SK Auto Work Tracking v1.0 – © 2026 Insights®
Splash.xaml | SKAuto Work Tracking
HelpView.xaml | Skips existing VINs. Date and Etat are ignored.
ImportView.xaml | Source
HelpView.xaml | 'SQLite Error 19: UNIQUE constraint failed' – duplicate client/vehicle/accessory. Use 'Overwrite' conflict resolution or skip duplicates.
WorkOrderDetailWindow.xaml | Status
ReportsView.xaml | Status:
HelpView.xaml | Summary Only – hides task-level details, shows only totals.
ReportsView.xaml | Summary Only (hide details)
HelpView.xaml | Supports columns: N° (VIN), Client, Modèle, Fin prép., Etat.
GoogleDriveSettingsView.xaml | Sync Now
PriceUpdateView.xaml | Task
ReportsView.xaml | Task Type:
WorkOrderDetailWindow.xaml | Task:
ReportsView.xaml | Tasks
HelpView.xaml | Tasks – all accessories with type, price, and usage count.
GoogleDriveSettingsView.xaml | Test Connection
HelpView.xaml | The Backup &amp; Restore window offers multiple ways to safeguard your database.
HelpView.xaml | The database is stored in AppData – ensure enough disk space.
HelpView.xaml | The Reports window provides powerful filtering and export to Excel or PDF.
HelpView.xaml | The system supports several import methods. Each has specific use cases.
HelpView.xaml | This system helps you manage work orders for vehicle accessory fitting and preparation. Below is a quick overview of the main workflows.
AccessoryManagementView.xaml | Time (min)
AccessoryManagementView.xaml | Time (min):
PriceUpdateView.xaml | To:
MainWindow.xaml | Today
HelpView.xaml | Today's work orders load automatically.
MainWindow.xaml | Top Clients
MainWindow.xaml | Total
TravelDialog.xaml | Travel Cost (€):
TravelDialog.xaml | Travel Details
WorkOrderDetailWindow.xaml | TRAVELS
ClientManagementView.xaml | Type
ClientEditWindow.xaml | Type:
PriceUpdateView.xaml | Update Prices
MainWindow.xaml | Update Status
HelpView.xaml | Update work order status (Planned → In Progress → Done).
HelpView.xaml | Use File → Change Password from the main menu.
HelpView.xaml | Use Google Drive to keep off‑site backups.
HelpView.xaml | Use the 'Import Vehicles' button in the Vehicle Management window.
HelpView.xaml | Use the main menu to import data, manage clients/vehicles, or generate reports.
HelpView.xaml | Use this for most imports. It reads the ParcCarrières or similar CSV format.
HelpView.xaml | User – limited access: create work orders, import data, update status, generate reports (prices are hidden).
GoogleDriveSettingsView.xaml | User Email:
HelpView.xaml | User Management &amp; Security
LoginView.xaml | Username
UserEditView.xaml | Username:
MainWindow.xaml | Vehicle
VehicleLookupView.xaml | Vehicle Lookup
ReportsView.xaml | Vehicles
HelpView.xaml | Vehicles – list of all vehicles with client association.
UserEditView.xaml | Verification Code:
HelpView.xaml | Version: 1.0.0 (latest)
MainWindow.xaml | Week
HelpView.xaml | Welcome to SKAuto Work Tracking
WorkOrderView.xaml | Work Order
WorkOrderDetailWindow.xaml | Work Order Details
WorkOrderDetailWindow.xaml | WORK ORDER INFO
ReportsView.xaml | Work Orders
HelpView.xaml | Work Orders – detailed list with tasks and travel.
HelpView.xaml | Work orders are created only for rows with Etat = 'Prêt' and date within the selected range.
HelpView.xaml | Work orders are the core of the system. Each work order represents all work for a specific vehicle on a specific date.
LoginView.xaml | Work Tracking
Splash.xaml | Work Tracking System
VehicleManagementView.xaml | Year
VehicleEditWindow.xaml | Year:
HelpView.xaml | You can manually export to ZIP for portability.
HelpView.xaml | You must know your current password to change it.
HelpView.xaml | 💡 Tip: Passwords are hashed using BCrypt – never stored in plain text.
HelpView.xaml | 💡 Tip: PDF reports use your custom colors and fonts (set in Settings).
HelpView.xaml | 💡 Tip: The progress bar shows the current step, and the mouse cursor changes to a wait icon during long operations.
HelpView.xaml | 💡 Tip: Use the 'Dry Run' checkbox to preview what will be imported without making changes.
HelpView.xaml | 💡 Tip: You can quickly mark a work order as 'Done' directly from the main grid using the green button.
HelpView.xaml | 💾 Backup &amp; Restore
HelpView.xaml | 📊 Reporting
HelpView.xaml | 📋 Work Orders
HelpView.xaml | 📌 Tips &amp; Troubleshooting
HelpView.xaml | 📘 Help &amp; Documentation
HelpView.xaml | 📥 Importing Data
HelpView.xaml | 🔒 User &amp; Security
HelpView.xaml | 🔹 Accessories (Tasks)
HelpView.xaml | 🔹 Admin Only
HelpView.xaml | 🔹 Bulk Price Update
HelpView.xaml | 🔹 Changing Password
HelpView.xaml | 🔹 Clients
HelpView.xaml | 🔹 Common Errors
HelpView.xaml | 🔹 Creating a Work Order
HelpView.xaml | 🔹 Daily Workflow
HelpView.xaml | 🔹 Data Recovery
HelpView.xaml | 🔹 Editing &amp; Deleting
HelpView.xaml | 🔹 Excel / CSV (General)
HelpView.xaml | 🔹 Export Options
HelpView.xaml | 🔹 Export to ZIP (CSV)
HelpView.xaml | 🔹 Filters (Work Orders &amp; Tasks)
HelpView.xaml | 🔹 Google Drive Sync
HelpView.xaml | 🔹 Import Vehicles Only
HelpView.xaml | 🔹 Local Backup
HelpView.xaml | 🔹 Login
HelpView.xaml | 🔹 ParcCarrières CSV
HelpView.xaml | 🔹 PDF Folder
HelpView.xaml | 🔹 Performance
HelpView.xaml | 🔹 Quick Start
HelpView.xaml | 🔹 Report Types
HelpView.xaml | 🔹 Restore
HelpView.xaml | 🔹 Roles
HelpView.xaml | 🔹 Status Tracking
HelpView.xaml | 🔹 Support
HelpView.xaml | 🔹 Vehicles
HelpView.xaml | 🚀 Getting Started
